prefecture,year,population,capital,region,estimated_area,island
Aichi,1872.1667,1210368,Nagoya,Chubu,5165.12,Honshu
Aichi,1873,1217444,Nagoya,Chubu,5165.12,Honshu
Aichi,1874,1217521,Nagoya,Chubu,5165.12,Honshu
Aichi,1875,1234003,Nagoya,Chubu,5165.12,Honshu
Aichi,1876,1244711,Nagoya,Chubu,5165.12,Honshu
Aichi,1877,1250839,Nagoya,Chubu,5165.12,Honshu
Aichi,1878,1267206,Nagoya,Chubu,5165.12,Honshu
Aichi,1879,1295452,Nagoya,Chubu,5165.12,Honshu
Aichi,1880,1303812,Nagoya,Chubu,5165.12,Honshu
Aichi,1881,1317792,Nagoya,Chubu,5165.12,Honshu
Aichi,1882,1332050,Nagoya,Chubu,5165.12,Honshu
Aichi,1883,1354996,Nagoya,Chubu,5165.12,Honshu
Aichi,1884,1370576,Nagoya,Chubu,5165.12,Honshu
Aichi,1885,1373419,Nagoya,Chubu,5165.12,Honshu
Aichi,1886,1386473,Nagoya,Chubu,5165.12,Honshu
Aichi,1886.9167,1404106,Nagoya,Chubu,5165.12,Honshu
Aichi,1887.9167,1429486,Nagoya,Chubu,5165.12,Honshu
Aichi,1888.9167,1444011,Nagoya,Chubu,5165.12,Honshu
Aichi,1889.9167,1456294,Nagoya,Chubu,5165.12,Honshu
Aichi,1890.9167,1473099,Nagoya,Chubu,5165.12,Honshu
Aichi,1891.9167,1483744,Nagoya,Chubu,5165.12,Honshu
Aichi,1892.9167,1497791,Nagoya,Chubu,5165.12,Honshu
Aichi,1893.9167,1512420,Nagoya,Chubu,5165.12,Honshu
Aichi,1894.9167,1529349,Nagoya,Chubu,5165.12,Honshu
Aichi,1895.9167,1553447,Nagoya,Chubu,5165.12,Honshu
Aichi,1896.9167,1577320,Nagoya,Chubu,5165.12,Honshu
Aichi,1897.9167,1592733,Nagoya,Chubu,5165.12,Honshu
Aichi,1898.9167,1639611,Nagoya,Chubu,5165.12,Honshu
Aichi,1903.9167,1752042,Nagoya,Chubu,5165.12,Honshu
Aichi,1908.9167,1886739,Nagoya,Chubu,5165.12,Honshu
Aichi,1913.9167,2073224,Nagoya,Chubu,5165.12,Honshu
Aichi,1918.9167,2140077,Nagoya,Chubu,5165.12,Honshu
Aichi,1920.75,2089762,Nagoya,Chubu,5165.12,Honshu
Aichi,1925.75,2319494,Nagoya,Chubu,5165.12,Honshu
Aichi,1930.75,2567413,Nagoya,Chubu,5165.12,Honshu
Aichi,1935.75,2862701,Nagoya,Chubu,5165.12,Honshu
Aichi,1940.75,3166592,Nagoya,Chubu,5165.12,Honshu
Aichi,1944.25,3280206,Nagoya,Chubu,5165.12,Honshu
Aichi,1945.8333,2857851,Nagoya,Chubu,5165.12,Honshu
Aichi,1946.3333,2919085,Nagoya,Chubu,5165.12,Honshu
Aichi,1947.75,3122902,Nagoya,Chubu,5165.12,Honshu
Aichi,1948.5833,3226116,Nagoya,Chubu,5165.12,Honshu
Aichi,1950.75,3390585,Nagoya,Chubu,5165.12,Honshu
Aichi,1955.75,3769209,Nagoya,Chubu,5165.12,Honshu
Aichi,1960.75,4206313,Nagoya,Chubu,5165.12,Honshu
Aichi,1965.75,4798653,Nagoya,Chubu,5165.12,Honshu
Aichi,1970.75,5386163,Nagoya,Chubu,5165.12,Honshu
Aichi,1975.75,5923569,Nagoya,Chubu,5165.12,Honshu
Aichi,1980.75,6221638,Nagoya,Chubu,5165.12,Honshu
Aichi,1985.75,6455172,Nagoya,Chubu,5165.12,Honshu
Aichi,1990.75,6690603,Nagoya,Chubu,5165.12,Honshu
Aichi,1995.75,6868336,Nagoya,Chubu,5165.12,Honshu
Aichi,2000.75,7043300,Nagoya,Chubu,5165.12,Honshu
Aichi,2005.75,7254704,Nagoya,Chubu,5165.12,Honshu
Aichi,2010.75,7410719,Nagoya,Chubu,5165.12,Honshu
Aichi,2015.75,7484094,Nagoya,Chubu,5165.12,Honshu
Akita,1872.1667,582297,Akita,Tohoku,11636.28,Honshu
Akita,1873,581859,Akita,Tohoku,11636.28,Honshu
Akita,1874,596641,Akita,Tohoku,11636.28,Honshu
Akita,1875,604114,Akita,Tohoku,11636.28,Honshu
Akita,1876,609420,Akita,Tohoku,11636.28,Honshu
Akita,1877,613389,Akita,Tohoku,11636.28,Honshu
