Location,y2010,y2015,y2020
Hokaido,5506,5382,5250
Aomori,1373,1308,1246
Iwate,1330,1280,1227
Miyagi,2348,2334,2306
Akita,1086,1023,966
Yamagata,1169,1124,1078
Fukuchima,2029,1914,1846
Tochigi,2970,2917,2860
Igaragi,2008,1974,1934
Gunma,2008,1973,1942
Saitama,7195,7267,7350
Chiba,6216,6223,6259
Tokyo,13159,13515,13921
Kanagawa,9048,9126,9198
Niigata,2374,2304,2223
Toyama,1093,1066,1044
Ishikawa,1170,1154,1138
Fukui,806,787,768
Yamanashi,863,835,811
Nagano,2152,2099,2049
Gifu,2081,2032,1987
Shizuoka,3765,3700,3644
Aichi,7411,7483,7552
Mie,1855,1816,1781
Shiga,1411,1413,1414
Kyoto,2636,2610,2583
Osaka,8865,8839,8809
Hyogo,5588,5535,5466
Nara,1401,1364,1330
Wakayama,1002,964,925
Tottori,589,573,556
Shimane,717,694,674
Okayama,1945,1922,1890
Hiroshima,2861,2844,2804
Yamaguchi,1451,1405,1358
Tokui,785,756,728
Kagawa,996,976,956
Ehime,1431,1385,1339
Kouchi,764,728,698
Fukuoka,5072,5102,5104
Shiga,850,833,815
Nagasaki,1427,1377,1327
Kumamoto,1817,1786,1748
Ooita,1197,1166,1135
Miyazaki,1135,1104,1073
Kagoshima,1706,1648,1602
Okinawa,1393,1434,1453
